id,url,reference
1OUSX,http://vo.bsdc.icranet.org/ousx/q/cone/scs.xml?,Giommi et al. in preparation!
2AGILE,http://vo.bsdc.icranet.org/agile/q/cone/scs.xml?,"Bulgarelli et al. 2019, A&A, 627, A13!"
2BIGB,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=J%2FMNRAS%2F493%2F2438%2Fsed&,"Arsioli et al. 2020, MNRAS, 493, 2438!"
2FHL,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=J%2FApJS%2F222%2F5%2F2fhl&,"Ackermann et al. 2016, ApJS, 222, 1!"
2MASS,http://gsss.stsci.edu/webservices/vo/ConeSearch.aspx?CAT=2MASS&,"Skrutskie et al. 2006, AJ, 131, 1163!"
2SXPS,http://vo.bsdc.icranet.org/sxps/q/cone/scs.xml?,"Evans et al. 2020, ApJS, 247, 54!"
3FGL,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=fermi3fgl&,"Acero et al. 2015, ApJS, 218, 23!"
3FHL,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=fermi3fhl&,"The Fermi-LAT Collaboration 2017, ApJS, 323, 18!"
3HSP,http://vo.bsdc.icranet.org/threehsp/q/cone/scs.xml?,"Chang et al. 2019, A&A, 632, A77!"
4FGL,,"DR3 The Fermi-LAT Collaboration 2022, arXiv:2201.11184!"
4FGL-DR3,http://vo.bsdc.icranet.org/fermi4fgl/q/cone/scs.xml?,
4FGL2,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=fermilpsc&,
4LAC,http://vo.bsdc.icranet.org/fermi4lac/q/cone/scs.xml?,
4XMM,,"DR11 Webb et al. A&A, 641, A136!"
4XMM-DR11,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=xmmssc&,
5BZCat,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=VII%2F274%2Fbzcat5&,"Massaro et al. 2015, Ap&SS, 357, 75!"
ABELL,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=abell&,"Abell et al. 1989, ApJS, 70, 1!"
AKARIBSC,https://irsa.ipac.caltech.edu/SCS?table=akari_fis,"Yamamura et al. 2010, VizieR, II, 298!"
AKARIPSC,https://irsa.ipac.caltech.edu/SCS?table=akari_irc,
ALMA,http://vo.bsdc.icranet.org/alma/q/cone/scs.xml?,"Bonato et al. 2019, MNRAS, 485, 1188!"
AT20G,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=J%2FMNRAS%2F402%2F2403%2Fat20gcat&,"Murphy et al. 2010, MNRAS, 402, 2403!"
ATPMN,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=atpmncat&,"McConnell et al. 2012, MNRAS, 422, 1527!"
BAT105m,http://vo.bsdc.icranet.org/bat105mon/q/cone/scs.xml?,"Oh et al. 2018, ApJS, 235, 4!"
BEPPOSAX,http://vo.bsdc.icranet.org/bepposax/q/cone/scs.xml?,"Giommi et al. 2002, Babs. conf.!"
BMW,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=bmwhricat&,"Panzera et al. 2003, A&A, 399, 351!"
BROS,http://vo.bsdc.icranet.org/bros/q/cone/scs.xml?,"Itoh et al., in prep!"
CMA,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=exohgls&,TBD!
CRATES,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=crates&,"Healey et al. 2007, ApJS, 171, 61! "
Chandra,,"CSC2 Evans et al. 2010, ApJS, 189, 37!"
Chandra-CSC2,http://cda.harvard.edu/cscvo/coneSearch?,
DENIS3,https://irsa.ipac.caltech.edu/SCS?table=denis3,
F2PSR,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=fermil2psr&,"The Fermi-LAT Collaboration, 2013!"
F357cat,http://vo.bsdc.icranet.org/f357all/q/cone/scs.xml?,"Bruzewski et al. 2021, arXiv:2102.07397!"
F357det,http://vo.bsdc.icranet.org/f357det/q/cone/scs.xml?,"Bruzewski et al. 2021, arXiv:2102.07397!"
FIRST,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=VIII%2F92%2Ffirst14&,"White et al. 1997, ApJ, 475 479!"
FMonLC,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=fermilasp&,Fermi Monitored sources! 
FermiGRB,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=fermilgrb&,"Ajello et al. 2019, ApJ, 878, 52!"
FermiMeV,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=J%2FA+A%2F618%2FA22&,"Principe et al. 2018, A&A, 618, A22! "
GAIA,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=I%2F337%2Fgaia&,"The Gaia Collaboration 2016, A&A, 595, A2!"
GALEX,http://galex.stsci.edu/gxWS/ConeSearch/gxConeSearch.aspx?,"Morrissey et al. 2007, ApJS, 173, 682!"
GB6,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=gb6&,"Gregory et al. 1996, ApJS, 103, 427!"
GB87,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=VIII%2F14%2Fj2000&,"Gregory et al. 1992, VizieR, VIII/14/j2000!"
GLEAM,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=gleamegcat&,"Hurley-Walker et al. 2017, MNRAS, 464, 1164!"
H,,"ATLAS-DR1 Valiante et al. 2016, MNRAS, 462, 3146!  "
H-ATLAS-DR1,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=J%2FMNRAS%2F462%2F3146&,
H-ATLAS-DR2NGP,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=J%2FApJS%2F236%2F30%2Fhatlas2ngp&,
H-ATLAS-DR2SGP,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=J%2FApJS%2F236%2F30%2Fhatlas2sgp&,
HESS,http://voparis-srv.obspm.fr/srv/ssa-hess_spectrum.php?,
HSTGSC,http://gsss.stsci.edu/webservices/vo/ConeSearch.aspx?CAT=GSC23&,"Lasker et al. 2008, AJ, 136, 735!"
IPC2E,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=einstein2e&,"Harris et al. 1990, VizieR, IX/13/2e!"
IPCSL,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=ipcslew&,"Elvis et al. 1992, ApJS, 80, 257!"
IRAS,,"PSC IPAC, 1986, VizieR, II, 125!"
IRAS-PSC,https://irsa.ipac.caltech.edu/SCS?table=iraspsc,
KUEHR,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=kuehr&,"Kuehr et al. 1981, A&AS, 45, 367!"
LoTSS,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=J%2FA+A%2F622%2FA1&,"Shimwell et al. 2019, A&A, 622, A1!"
MAGIC,http://vo.bsdc.icranet.org/magic/q/ssa/ssap.xml?,TBD!
MAXI,,TBD!
MAXIGSC,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=J%2FApJS%2F238%2F32%2F3maxi&,
MAXISSC,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=maxissccat&,
MCXC,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=J%2FA%2BA%2F534%2FA109%2Fmcxc&,"Piffaretti et al. 2011, A&A, 534, A109!"
MST9Y,http://vo.bsdc.icranet.org/mst9y/q/cone/scs.xml?,"Campana et al. 2018, A&A, 619, A23!"
MilliQuas,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=VII%2F290%2Fcatalog&,"(v7.2) Flesch et al. 2015, PASA, 32, e010!"
NEOWISE,https://irsa.ipac.caltech.edu/SCS?table=neowiser_p1bs_psd,"Mainzer et al. 2014, ApJ, 792, 30!"
NORTH20,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=VIII%2F17%2Fnorth20&,"White and Becker, 1992, ApJS, 79, 331!"
