id,url,columns
NVSS,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=nvss&,"name,ra,ra_error,dec,dec_error,flux_20_cm,flux_20_cm_error,major_axis,major_axis_error,minor_axis,minor_axis_error,position_angle"
FIRST,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=VIII%2F92%2Ffirst14&,"FIRST,RAJ2000,DEJ2000,Maj,Min,PA,Fint,Rms,p_S_"
SUMSS,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=VIII%2F81B%2Fsumss212&,"RAJ2000,e_RAJ2000,DEJ2000,e_DEJ2000,St,e_St,MajAxis,MinAxis,PA"
VLASSQL,http://vo.bsdc.icranet.org/vlassql/q/cone/scs.xml?,"Component_name,RA,DEC,Maj,Min,PA,Total_flux,E_Total_flux,Source_name"
RASS,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=rass2rxs&,"name,ra,dec,count_rate,count_rate_error"
RASSBSC,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=IX%2F10A%2F1rxs&,"1RXS,RAJ2000,DEJ2000,PosErr,Count,e_Count"
RASSFSC,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=rassfsc&,"name,ra,dec,positional_error,count_rate,count_rate_error"
2SXPS,http://vo.bsdc.icranet.org/sxps/q/cone/scs.xml?,"IAUName,RA,Dec,Err90,Rate_band0,Rate_band0_pos,Rate_band0_neg,Rate_band1,Rate_band1_pos,Rate_band1_neg,,Rate_band2,Rate_band2_pos,Rate_band2_neg,Rate_band3,Rate_band3_pos,Rate_band3_neg"
SDS82,http://vo.bsdc.icranet.org/sds82/q/cone/scs.xml?,"OBJID,RA,DEC,NUFNU_3000EV,NUFNU_ERROR_3000EV,NUFNU_500EV,NUFNU_ERROR_500EV,UPPER_LIMIT_500EV,NUFNU_1500EV,NUFNU_ERROR_1500EV,UPPER_LIMIT_1500EV,NUFNU_4500EV,NUFNU_ERROR_4500EV,UPPER_LIMIT_4500EV"
OUSXB,http://vo.bsdc.icranet.org/ousxb/q/cone/scs.xml?,"ID,RA,DEC,NUFNU05KEV,NUFNU05KEV_ERROR,NUFNU1KEV,NUFNU1KEV_ERROR,NUFNU15KEV,NUFNU15KEV_ERROR,NUFNU3KEV,NUFNU3KEV_ERROR,NUFNU45KEV,NUFNU45KEV_ERROR,MJD_START,MJD_END"
OUSXG,http://vo.bsdc.icranet.org/ousxg/q/cone/scs.xml?,"ID,RA,DEC,NUFNU05KEV,NUFNU05KEV_ERROR,NUFNU1KEV,NUFNU1KEV_ERROR,NUFNU15KEV,NUFNU15KEV_ERROR,NUFNU3KEV,NUFNU3KEV_ERROR,NUFNU45KEV,NUFNU45KEV_ERROR,MJD_START,MJD_END"
